file_path,character,source,duration_sec,quality_score,emotion_tag,style_tag,delivery_tags,transcript,keep_flag
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_001.wav,character_b_segments,jeff_prepared_seg_001,10.0,,unknown,neutral,"filler_heavy,rambling,restart","Uh, I can't wait to bring my, my black daughter,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_002.wav,character_b_segments,jeff_prepared_seg_002,3.1105,,unknown,neutral,"clipped,filler_heavy,short_burst","It's interesting, uh, I don't know why I'm on",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_003.wav,character_b_segments,jeff_prepared_seg_003,10.0,,unknown,neutral,rambling,"a dinosaur, and perhaps get a piece of",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_004.wav,character_b_segments,jeff_prepared_seg_004,7.8799,,unknown,neutral,"counting,filler_heavy,pause_heavy,question_rise,rambling","of pussy from one of the dinosaurs, yes? It's uh, I don't know why I'm on this trip. Uh, my, I'm a professor of dinosaur sexuality, and they brought me along to see if I could create some lingerie. Has anyone seen my black daughter? They Let's 1, 2, 3, 4, 5,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_005.wav,character_b_segments,jeff_prepared_seg_005,6.9847,,unknown,neutral,"counting,filler_heavy,pause_heavy,rambling","8, 9, 10, 11, 9, 10, 11, dino. maybe try cushydreams.com, maybe",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_006.wav,character_b_segments,jeff_prepared_seg_006,10.0,,unknown,neutral,"filler_heavy,rambling","try, if you like having sex, cushydream, you'll love having sex with cushydream. I'll tell you what, it's one of the few websites you can load up",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_007.wav,character_b_segments,jeff_prepared_seg_007,10.0,,unknown,neutral,"filler_heavy,pause_heavy,rambling","up and just put the computer right up right into your ass and type on the computer. with your ass muscles. Think, dance, play,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_008.wav,character_b_segments,jeff_prepared_seg_008,10.0,,unknown,neutral,"filler_heavy,rambling,restart","you can put the computer in your new iMac, you can load it on, you can pull up, this is really cool, they got gay pornography on it, and you can look at it, you can pull out",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_009.wav,character_b_segments,jeff_prepared_seg_009,10.0,,unknown,neutral,"filler_heavy,rambling","out your cock, I don't know, I've got cheesy ideas, you can pull out your cock, beat off in front of all of your friends, the entire computer will fit in your ass. Oh, take off your pants, sit down on",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_010.wav,character_b_segments,jeff_prepared_seg_010,8.2409,,unknown,neutral,"pause_heavy,rambling","on the top of the computer, and keep pushing until it's inside your body. I like my penis getting sucked. By a computer,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_011.wav,character_b_segments,jeff_prepared_seg_011,10.0,,unknown,neutral,"clipped,cutoff,filler_heavy,pause_heavy,rambling,restart","the new iMac, you can shove it directly in your ass. This is cool, check this out, you can laugh, dance, sing, fuck the com- [cutoff]. You're watching Family Feud, I'm",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_012.wav,character_b_segments,jeff_prepared_seg_012,10.0,,unknown,neutral,"host_intro,pause_heavy,rambling","I'm your new host, Jeff Goldblum. And what do we have here, the faggot family. On the back end. I'll wait until they blow it. Until",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_013.wav,character_b_segments,jeff_prepared_seg_013,10.0,,unknown,neutral,"clipped,cutoff,pause_heavy,rambling","Until Aunt D'Amequa blows it. Go back to me and I'll steal the roun-[cutoff]. You can shove it up your ass. Well, I'll tell you what you",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_014.wav,character_b_segments,jeff_prepared_seg_014,2.9058,,unknown,neutral,"clipped,short_burst","you can do with a computer, Steve. The you",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_015.wav,character_b_segments,jeff_prepared_seg_015,10.0,,unknown,neutral,"clipped,cutoff,pause_heavy,rambling",can suck on it. Think about shoving it- [cutoff]. You have to repeat what I said. It was a good gab. My pleasure. I'm,True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_016.wav,character_b_segments,jeff_prepared_seg_016,10.0,,unknown,neutral,"filler_heavy,host_intro,laughter,pause_heavy,rambling","I'm sorry. I didn't notice my penis was out [laughter]. Uh, uh, uh, Good morning. The morning is one of the",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_017.wav,character_b_segments,jeff_prepared_seg_017,10.0,,unknown,neutral,"filler_heavy,host_intro,pause_heavy,rambling","the best times. Good morning, America. Good evening, China. Middle of the night over there, probably Chinese people having sex.",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_018.wav,character_b_segments,jeff_prepared_seg_018,2.6962,,unknown,neutral,"clipped,restart,short_burst",The lesson is is is is,True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_019.wav,character_b_segments,jeff_prepared_seg_019,10.0,,unknown,neutral,"clipped,cutoff,filler_heavy,pause_heavy,rambling",to get a cast a spell on it. Perhaps you would want. to do a one-on-one. Maybe,True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_020.wav,character_b_segments,jeff_prepared_seg_020,6.9121,,unknown,neutral,"filler_heavy,restart","Maybe I can, maybe we'll do a lesson plan. The Underground Railroad would have happened",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_021.wav,character_b_segments,jeff_prepared_seg_021,5.3284,,unknown,neutral,,if Harriet Tubman had been fat. Harriet Tubman was married to,True
